delivery_id,order_number,delivery_date,vehicle_id,driver_id,customer_id,depot_id,distance_km,weight_kg,planned_departure,actual_departure,planned_arrival,actual_arrival,completion_time,loading_time_minutes,travel_time_minutes,parking_time_minutes,service_time_minutes,is_late,late_minutes,status,priority,cost_thb,traffic_level,weather,day_of_week,hour_of_day
DEL_000001,ORD_000001,2025-08-27,VEH_044,DRV_062,CUST_0451,DEPOT_001,24.05,84,2025-08-27 08:41:00,2025-08-27 08:53:00,2025-08-27 09:53:00,2025-08-27 11:20:09.226661,2025-08-27 11:36:09.226661,25,134.2,4,12,False,0,cancelled,urgent,192.43,1.86,rain,Wednesday,8
DEL_000002,ORD_000002,2026-01-12,VEH_041,DRV_092,CUST_0494,DEPOT_003,32.12,777,2026-01-12 06:35:00,2026-01-12 06:34:00,2026-01-12 08:11:00,2026-01-12 08:34:11.061436,2026-01-12 08:57:11.061436,24,101.2,4,19,False,0,delivered,high,257.0,1.05,rain,Monday,6
DEL_000004,ORD_000004,2026-01-16,VEH_011,DRV_087,CUST_0026,DEPOT_003,15.48,164,2026-01-16 07:46:00,2026-01-16 07:39:00,2026-01-16 08:32:00,2026-01-16 09:23:14.452016,2026-01-16 09:40:14.452016,14,79.2,8,9,False,0,delivered,high,123.83,1.71,cloudy,Friday,7
DEL_000005,ORD_000005,2026-01-17,VEH_030,DRV_016,CUST_0137,DEPOT_001,22.62,3179,2026-01-17 07:53:00,2026-01-17 07:50:00,2026-01-17 09:00:00,2026-01-17 09:44:58.396823,2026-01-17 09:53:58.396823,21,87.0,6,3,False,0,delivered,urgent,565.58,1.28,rain,Saturday,7
DEL_000006,ORD_000006,2025-10-17,VEH_033,DRV_045,CUST_0320,DEPOT_003,22.04,187,2025-10-17 08:30:00,2025-10-17 08:21:00,2025-10-17 09:36:00,2025-10-17 10:14:10.454234,2025-10-17 10:25:10.454234,14,86.2,1,10,False,0,delivered,high,176.31,1.3,clear,Friday,8
DEL_000007,ORD_000007,2025-08-29,VEH_025,DRV_008,CUST_0477,DEPOT_004,13.46,324,2025-08-29 08:50:00,2025-08-29 08:57:00,2025-08-29 09:30:00,2025-08-29 10:15:10.809639,2025-08-29 10:32:10.809639,22,69.2,6,11,False,0,delivered,high,107.69,1.71,clear,Friday,8
DEL_000008,ORD_000008,2025-12-30,VEH_010,DRV_044,CUST_0046,DEPOT_004,15.96,107,2025-12-30 08:31:00,2025-12-30 08:26:00,2025-12-30 09:18:00,2025-12-30 09:54:41.998513,2025-12-30 10:14:41.998513,13,67.7,8,12,False,0,delivered,high,127.66,1.41,cloudy,Tuesday,8
DEL_000009,ORD_000009,2025-11-23,VEH_037,DRV_045,CUST_0303,DEPOT_003,25.57,795,2025-11-23 08:49:00,2025-11-23 08:39:00,2025-11-23 10:05:00,2025-11-23 11:18:36.093435,2025-11-23 11:48:36.093435,19,131.6,6,24,False,0,delivered,urgent,204.56,1.72,clear,Sunday,8
DEL_000011,ORD_000011,2025-10-20,VEH_045,DRV_015,CUST_0438,DEPOT_003,2.47,2929,2025-10-20 08:41:00,2025-10-20 08:36:00,2025-10-20 08:48:00,2025-10-20 09:12:21.160874,2025-10-20 09:31:21.160874,17,13.4,3,16,False,0,delivered,urgent,44.43,1.8,cloudy,Monday,8
DEL_000012,ORD_000012,2026-01-16,VEH_025,DRV_100,CUST_0282,DEPOT_004,9.53,436,2026-01-16 08:37:00,2026-01-16 08:54:00,2026-01-16 09:05:00,2026-01-16 09:39:02.543567,2026-01-16 09:56:02.543567,15,46.0,3,14,False,0,delivered,urgent,76.24,1.61,cloudy,Friday,8
DEL_000013,ORD_000013,2026-01-28,VEH_011,DRV_093,CUST_0373,DEPOT_003,7.59,182,2026-01-28 07:09:00,2026-01-28 07:21:00,2026-01-28 07:31:00,2026-01-28 08:08:57.497906,2026-01-28 08:38:57.497906,21,42.0,4,26,False,0,delivered,urgent,60.73,1.84,clear,Wednesday,7
DEL_000014,ORD_000014,2025-08-27,VEH_005,DRV_028,CUST_0101,DEPOT_001,21.01,593,2025-08-27 08:33:00,2025-08-27 08:32:00,2025-08-27 09:36:00,2025-08-27 10:46:27.379225,2025-08-27 10:54:27.379225,31,108.5,4,4,False,0,delivered,high,168.11,1.72,rain,Wednesday,8
DEL_000015,ORD_000015,2025-07-01,VEH_037,DRV_055,CUST_0098,DEPOT_003,3.65,521,2025-07-01 09:34:00,2025-07-01 09:25:00,2025-07-01 09:44:00,2025-07-01 10:07:26.498532,2025-07-01 10:34:26.498532,21,15.4,11,16,False,0,delivered,high,29.2,1.41,cloudy,Tuesday,9
DEL_000016,ORD_000016,2025-07-23,VEH_008,DRV_078,CUST_0180,DEPOT_002,19.91,6028,2025-07-23 08:15:00,2025-07-23 08:29:00,2025-07-23 09:14:00,2025-07-23 10:14:29.285704,2025-07-23 10:32:29.285704,40,86.5,8,10,False,0,delivered,urgent,497.73,1.45,rain,Wednesday,8
DEL_000017,ORD_000017,2025-09-10,VEH_011,DRV_026,CUST_0355,DEPOT_003,29.83,724,2025-09-10 06:01:00,2025-09-10 06:02:00,2025-09-10 07:30:00,2025-09-10 08:23:10.445433,2025-09-10 08:31:10.445433,18,124.2,3,5,False,0,delivered,urgent,238.64,1.39,rain,Wednesday,6
DEL_000018,ORD_000018,2025-11-05,VEH_016,DRV_082,CUST_0305,DEPOT_004,3.68,549,2025-11-05 09:58:00,2025-11-05 09:53:00,2025-11-05 10:09:00,2025-11-05 10:31:21.095667,2025-11-05 11:09:21.095667,17,17.4,13,25,False,0,delivered,normal,66.28,1.57,rain,Wednesday,9
DEL_000019,ORD_000019,2025-08-06,VEH_024,DRV_021,CUST_0384,DEPOT_002,8.48,3293,2025-08-06 07:19:00,2025-08-06 07:09:00,2025-08-06 07:44:00,2025-08-06 08:23:10.613115,2025-08-06 08:45:10.613115,28,31.2,2,20,False,0,delivered,urgent,152.73,1.22,rain,Wednesday,7
DEL_000020,ORD_000020,2025-08-13,VEH_038,DRV_004,CUST_0082,DEPOT_002,18.06,767,2025-08-13 08:34:00,2025-08-13 08:26:00,2025-08-13 09:28:00,2025-08-13 10:46:35.214060,2025-08-13 11:05:35.214060,28,99.6,13,6,False,0,delivered,high,216.74,1.84,cloudy,Wednesday,8
DEL_000022,ORD_000022,2025-11-03,VEH_046,DRV_042,CUST_0339,DEPOT_001,6.25,668,2025-11-03 06:07:00,2025-11-03 06:23:00,2025-11-03 06:25:00,2025-11-03 06:56:11.994526,2025-11-03 07:21:11.994526,20,24.2,12,13,False,0,delivered,normal,50.03,1.29,clear,Monday,6
DEL_000023,ORD_000023,2025-12-09,VEH_009,DRV_048,CUST_0323,DEPOT_005,10.13,63,2025-12-09 07:00:00,2025-12-09 07:16:00,2025-12-09 07:30:00,2025-12-09 08:19:37.159263,2025-12-09 08:37:37.159263,47,37.6,11,7,False,0,delivered,urgent,81.06,1.24,rain,Tuesday,7
DEL_000025,ORD_000025,2025-09-11,VEH_035,DRV_088,CUST_0400,DEPOT_005,17.22,746,2025-09-11 08:23:00,2025-09-11 08:36:00,2025-09-11 09:14:00,2025-09-11 10:18:37.163320,2025-09-11 10:23:37.163320,39,73.6,0,5,False,0,cancelled,urgent,137.75,1.43,cloudy,Thursday,8
DEL_000027,ORD_000027,2025-09-13,VEH_008,DRV_038,CUST_0445,DEPOT_002,17.26,4628,2025-09-13 08:34:00,2025-09-13 08:36:00,2025-09-13 09:25:00,2025-09-13 10:40:05.259585,2025-09-13 10:51:05.259585,32,93.1,6,5,False,0,delivered,urgent,431.39,1.8,rain,Saturday,8
DEL_000028,ORD_000028,2026-01-16,VEH_044,DRV_068,CUST_0171,DEPOT_001,18.21,723,2026-01-16 06:27:00,2026-01-16 06:39:00,2026-01-16 07:21:00,2026-01-16 07:50:22.430676,2026-01-16 08:08:22.430676,24,58.4,11,7,False,0,delivered,normal,145.66,1.07,clear,Friday,6
DEL_000029,ORD_000029,2026-01-08,VEH_002,DRV_055,CUST_0127,DEPOT_003,19.91,716,2026-01-08 09:12:00,2026-01-08 09:10:00,2026-01-08 10:11:00,2026-01-08 11:23:46.838474,2026-01-08 11:37:46.838474,17,113.8,10,4,False,0,delivered,normal,238.98,1.9,rain,Thursday,9
DEL_000030,ORD_000030,2025-09-24,VEH_012,DRV_047,CUST_0273,DEPOT_002,2.91,6361,2025-09-24 08:38:00,2025-09-24 08:52:00,2025-09-24 08:46:00,2025-09-24 09:25:29.245833,2025-09-24 09:46:29.245833,36,14.5,14,7,False,0,delivered,normal,72.78,1.66,rain,Wednesday,8
DEL_000031,ORD_000031,2025-10-14,VEH_004,DRV_093,CUST_0409,DEPOT_003,17.65,2808,2025-10-14 07:50:00,2025-10-14 08:08:00,2025-10-14 08:42:00,2025-10-14 09:48:24.908604,2025-10-14 10:12:24.908604,24,100.4,9,15,False,0,delivered,high,441.33,1.9,cloudy,Tuesday,7
DEL_000032,ORD_000032,2025-10-12,VEH_043,DRV_031,CUST_0177,DEPOT_001,12.13,76,2025-10-12 07:36:00,2025-10-12 07:32:00,2025-10-12 08:12:00,2025-10-12 08:45:16.283488,2025-10-12 09:04:16.283488,23,44.3,0,19,False,0,delivered,high,97.01,1.22,cloudy,Sunday,7
DEL_000033,ORD_000033,2025-11-08,VEH_025,DRV_014,CUST_0378,DEPOT_004,17.94,634,2025-11-08 07:16:00,2025-11-08 07:22:00,2025-11-08 08:09:00,2025-11-08 09:15:01.212607,2025-11-08 09:51:01.212607,18,103.0,8,28,False,0,delivered,high,143.49,1.91,cloudy,Saturday,7
